Name	Type	Sample	Expr
ENSG00000109689	Uncorrect_specific	untrt_N61311	10.5917695685138
ENSG00000159674	SVA_batch_specific	untrt_N61311	13.7046365530973
ENSG00000162407	Known_batch_uncorrect_common	untrt_N61311	14.7539017279824
ENSG00000163394	Known_batch_SVA_batch_common	untrt_N61311	9.82945724779903
ENSG00000178695	All_common	untrt_N61311	12.2057449686642
ENSG00000184254	Known_batch_specific	untrt_N61311	9.59866531804826
ENSG00000220563	SVA_batch_uncorrect_common	untrt_N61311	6.15028469587071
ENSG00000109689	Uncorrect_specific	untrt_N052611	10.9043516178378
ENSG00000159674	SVA_batch_specific	untrt_N052611	12.7267201496618
ENSG00000162407	Known_batch_uncorrect_common	untrt_N052611	15.2417185903259
ENSG00000163394	Known_batch_SVA_batch_common	untrt_N052611	11.054478191832
ENSG00000178695	All_common	untrt_N052611	12.0116063952636
ENSG00000184254	Known_batch_specific	untrt_N052611	10.0685210405059
ENSG00000220563	SVA_batch_uncorrect_common	untrt_N052611	6.09867288349663
ENSG00000109689	Uncorrect_specific	untrt_N080611	10.1927903814157
ENSG00000159674	SVA_batch_specific	untrt_N080611	13.9252846372857
ENSG00000162407	Known_batch_uncorrect_common	untrt_N080611	14.7341932162099
ENSG00000163394	Known_batch_SVA_batch_common	untrt_N080611	8.98636405006047
ENSG00000178695	All_common	untrt_N080611	12.1596205936314
ENSG00000184254	Known_batch_specific	untrt_N080611	8.29992726455556
ENSG00000220563	SVA_batch_uncorrect_common	untrt_N080611	6.20491178103519
ENSG00000109689	Uncorrect_specific	untrt_N061011	10.7830717733285
ENSG00000159674	SVA_batch_specific	untrt_N061011	13.2764171790842
ENSG00000162407	Known_batch_uncorrect_common	untrt_N061011	15.4129881206382
ENSG00000163394	Known_batch_SVA_batch_common	untrt_N061011	12.1958206912724
ENSG00000178695	All_common	untrt_N061011	12.2401025974779
ENSG00000184254	Known_batch_specific	untrt_N061011	9.97654710729429
ENSG00000220563	SVA_batch_uncorrect_common	untrt_N061011	6.3070293083677
ENSG00000109689	Uncorrect_specific	trt_N61311	9.89081428227303
ENSG00000159674	SVA_batch_specific	trt_N61311	13.2000314514705
ENSG00000162407	Known_batch_uncorrect_common	trt_N61311	13.8601738355704
ENSG00000163394	Known_batch_SVA_batch_common	trt_N61311	8.27662958912918
ENSG00000178695	All_common	trt_N61311	9.97033281539415
ENSG00000184254	Known_batch_specific	trt_N61311	8.82652536501316
ENSG00000220563	SVA_batch_uncorrect_common	trt_N61311	5.72867866987872
ENSG00000109689	Uncorrect_specific	trt_N052611	9.66608774710448
ENSG00000159674	SVA_batch_specific	trt_N052611	11.8279805274691
ENSG00000162407	Known_batch_uncorrect_common	trt_N052611	14.1342584559959
ENSG00000163394	Known_batch_SVA_batch_common	trt_N052611	8.9987331694829
ENSG00000178695	All_common	trt_N052611	9.44871742532094
ENSG00000184254	Known_batch_specific	trt_N052611	9.17748643932166
ENSG00000220563	SVA_batch_uncorrect_common	trt_N052611	5.8648901454199
ENSG00000109689	Uncorrect_specific	trt_N080611	9.60872437702161
ENSG00000159674	SVA_batch_specific	trt_N080611	12.4190125730855
ENSG00000162407	Known_batch_uncorrect_common	trt_N080611	13.7836363571975
ENSG00000163394	Known_batch_SVA_batch_common	trt_N080611	7.22627514798827
ENSG00000178695	All_common	trt_N080611	10.0632496458821
ENSG00000184254	Known_batch_specific	trt_N080611	7.53667636578295
ENSG00000220563	SVA_batch_uncorrect_common	trt_N080611	5.85567685259679
ENSG00000109689	Uncorrect_specific	trt_N061011	9.61812368480247
ENSG00000159674	SVA_batch_specific	trt_N061011	12.2488452914711
ENSG00000162407	Known_batch_uncorrect_common	trt_N061011	14.3694424280528
ENSG00000163394	Known_batch_SVA_batch_common	trt_N061011	10.0558158563709
ENSG00000178695	All_common	trt_N061011	9.48785429626204
ENSG00000184254	Known_batch_specific	trt_N061011	8.93870095297878
ENSG00000220563	SVA_batch_uncorrect_common	trt_N061011	5.95318167563677
